NOM;1_GEN_SG;2_GEN_PL;3_NOM_DEF;
<color=#D09B61FF>garda</color>;<color=#D09B61FF>an garda</color>;<color=#D09B61FF>na ngardaí</color>;<color=#D09B61FF>an garda</color>;
<color=#D09B61FF>gasail</color>;<color=#D09B61FF>an ghasail</color>;<color=#D09B61FF>na ngasail</color>;<color=#D09B61FF>an ghásail</color>;
<color=#D09B61FF>gé</color>;<color=#D09B61FF>an ghé</color>;<color=#D09B61FF>na nge</color>;<color=#D09B61FF>an gé</color>;
<color=#D09B61FF>geac</color>;<color=#D09B61FF>an gheac</color>;<color=#D09B61FF>na ngeac</color>;<color=#D09B61FF>an geac</color>;
<color=#D09B61FF>geac óg</color>;<color=#D09B61FF>an gheac óg</color>;<color=#D09B61FF>na ngeac óg</color>;<color=#D09B61FF>an geac óg</color>;
<color=#D09B61FF>giorria</color>;<color=#D09B61FF>an giorria</color>;<color=#D09B61FF>na ngiorria</color>;<color=#D09B61FF>an giorria</color>;
<color=#D09B61FF>giorria bán</color>;<color=#D09B61FF>an giorria bán</color>;<color=#D09B61FF>na ngiorria bán</color>;<color=#D09B61FF>an giorria bán</color>;
<color=#D09B61FF>gránádóir</color>;<color=#D09B61FF>an gránádóra</color>;<color=#D09B61FF>na ngránádóirí</color>;<color=#D09B61FF>an gránádóir</color>;
<color=#D09B61FF>gránádóir deataigh</color>;<color=#D09B61FF>an gránádóra deataigh</color>;<color=#D09B61FF>na ngránádóirí deataigh</color>;<color=#D09B61FF>an gránádóir deataigh</color>;
<color=#D09B61FF>gránádóir EMP</color>;<color=#D09B61FF>an gránádóra EMP</color>;<color=#D09B61FF>na ngránádóirí EMP</color>;<color=#D09B61FF>an gránádóir EMP</color>;
<color=#D09B61FF>gunnadóir píoráide</color>;<color=#D09B61FF>an ghunnadóra píoráide</color>;<color=#D09B61FF>na ngunnadóirí píoráide</color>;<color=#D09B61FF>an gunnadóir píoráide</color>;
<color=#D09B61FF>huscaí</color>;<color=#D09B61FF>an huscaí</color>;<color=#D09B61FF>na n-huscaí</color>;<color=#D09B61FF>an huscaí</color>;
<color=#D09B61FF>ibeach</color>;<color=#D09B61FF>an ibeach</color>;<color=#D09B61FF>na n-ibeacha</color>;<color=#D09B61FF>an ibeach</color>;
<color=#D09B61FF>ioguána</color>;<color=#D09B61FF>an ioguána</color>;<color=#D09B61FF>na n-ioguána</color>;<color=#D09B61FF>an ioguána</color>;
<color=#D09B61FF>iora</color>;<color=#D09B61FF>an iora</color>;<color=#D09B61FF>na n-iora</color>;<color=#D09B61FF>an iora</color>;
<color=#D09B61FF>labradór</color>;<color=#D09B61FF>an labradóra</color>;<color=#D09B61FF>na mlabradóirí</color>;<color=#D09B61FF>an labradór</color>;
<color=#D09B61FF>lacha</color>;<color=#D09B61FF>an lacha</color>;<color=#D09B61FF>na lacha</color>;<color=#D09B61FF>an lacha</color>;
<color=#D09B61FF>lachan</color>;<color=#D09B61FF>an lachain</color>;<color=#D09B61FF>na n-lachan</color>;<color=#D09B61FF>an lachán</color>;
<color=#D09B61FF>lansaí</color>;<color=#D09B61FF>an lansaí</color>;<color=#D09B61FF>na n-lansaí</color>;<color=#D09B61FF>an lansaí</color>;
<color=#D09B61FF>lincse</color>;<color=#D09B61FF>an lincse</color>;<color=#D09B61FF>na lincse</color>;<color=#D09B61FF>an lincse</color>;
<color=#D09B61FF>lincse óg</color>;<color=#D09B61FF>an lincse óig</color>;<color=#D09B61FF>na n-lincse óg</color>;<color=#D09B61FF>an lincse óg</color>;
<color=#D09B61FF>mac tíre</color>;<color=#D09B61FF>an mhic tíre</color>;<color=#D09B61FF>na mac tíre</color>;<color=#D09B61FF>an mac tíre</color>;
<color=#D09B61FF>mac tíre arctach</color>;<color=#D09B61FF>an mhic tíre arctach</color>;<color=#D09B61FF>na mac tíre arctach</color>;<color=#D09B61FF>an mac tíre arctach</color>;
<color=#D09B61FF>mac tíre óg</color>;<color=#D09B61FF>an mhic tíre óg</color>;<color=#D09B61FF>na mac tíre óg</color>;<color=#D09B61FF>an mac tíre óg</color>;
<color=#D09B61FF>meigeaspadán</color>;<color=#D09B61FF>an mheigeaspadáin</color>;<color=#D09B61FF>na meigeaspadán</color>;<color=#D09B61FF>an mheigeaspadán</color>;
<color=#D09B61FF>moncaí</color>;<color=#D09B61FF>an moncaí</color>;<color=#D09B61FF>na n-moncaí</color>;<color=#D09B61FF>an moncaí</color>;
<color=#D09B61FF>muabhall</color>;<color=#D09B61FF>an mhuabhall</color>;<color=#D09B61FF>na muabhall</color>;<color=#D09B61FF>an muabhall</color>;
<color=#D09B61FF>muabhall óg</color>;<color=#D09B61FF>an mhuabhall óg</color>;<color=#D09B61FF>na muabhall óg</color>;<color=#D09B61FF>an muabhall óg</color>;
<color=#D09B61FF>muc</color>;<color=#D09B61FF>an mhuc</color>;<color=#D09B61FF>na muc</color>;<color=#D09B61FF>an mhuc</color>;
<color=#D09B61FF>muc ghuine</color>;<color=#D09B61FF>an mhuc ghuine</color>;<color=#D09B61FF>na muc ghuine</color>;<color=#D09B61FF>an muc ghuine</color>;
<color=#D09B61FF>muicín</color>;<color=#D09B61FF>an muicín</color>;<color=#D09B61FF>na muicíní</color>;<color=#D09B61FF>an muicín</color>;
<color=#D09B61FF>óglach</color>;<color=#D09B61FF>an óglach</color>;<color=#D09B61FF>na n-óglaithe</color>;<color=#D09B61FF>an óglach</color>;
<color=#D09B61FF>ollbhéar</color>;<color=#D09B61FF>an ollbhéara</color>;<color=#D09B61FF>na n-ollbhéara</color>;<color=#D09B61FF>an ollbhéar</color>;
<color=#D09B61FF>ostrais</color>;<color=#D09B61FF>an ostrais</color>;<color=#D09B61FF>na n-ostrais</color>;<color=#D09B61FF>an óstrais</color>;
<color=#D09B61FF>pantar</color>;<color=#D09B61FF>an phantar</color>;<color=#D09B61FF>na bpantar</color>;<color=#D09B61FF>an pantar</color>;
<color=#D09B61FF>pícróbat</color>;<color=#D09B61FF>an phícróbat</color>;<color=#D09B61FF>na bpícróbat</color>;<color=#D09B61FF>an pícróbat</color>;
<color=#D09B61FF>puisín</color>;<color=#D09B61FF>an phuisín</color>;<color=#D09B61FF>na bpuisín</color>;<color=#D09B61FF>an puisín</color>;
<color=#D09B61FF>púma</color>;<color=#D09B61FF>an phúma</color>;<color=#D09B61FF>na bpúma</color>;<color=#D09B61FF>an púma</color>;
<color=#D09B61FF>racún</color>;<color=#D09B61FF>an ghracún</color>;<color=#D09B61FF>na racún</color>;<color=#D09B61FF>an racún</color>;
<color=#D09B61FF>sáraitheoir</color>;<color=#D09B61FF>an tsáraitheora</color>;<color=#D09B61FF>na sáraitheoirí</color>;<color=#D09B61FF>an sáraitheoir</color>;
<color=#D09B61FF>scealpchosach</color>;<color=#D09B61FF>an tscealpchosach</color>;<color=#D09B61FF>na scealpchosach</color>;<color=#D09B61FF>an scealpchosach</color>;
<color=#D09B61FF>sclábhaí</color>;<color=#D09B61FF>an tslábhaí</color>;<color=#D09B61FF>na sclábhaí</color>;<color=#D09B61FF>an sclábhaí</color>;
<color=#D09B61FF>scroblachóir gunnadóra</color>;<color=#D09B61FF>an scroblachóra ghunnadóra</color>;<color=#D09B61FF>na scroblachóirí píoráide</color>;<color=#D09B61FF>an scroblachóir gunnadóra</color>;
<color=#D09B61FF>scroblachóir sléachta</color>;<color=#D09B61FF>an scroblachóra sléachta</color>;<color=#D09B61FF>na scroblachóirí sléachta</color>;<color=#D09B61FF>an scroblachóir sléachta</color>;
<color=#D09B61FF>sealgaire</color>;<color=#D09B61FF>an shealgaire</color>;<color=#D09B61FF>na sealgairí</color>;<color=#D09B61FF>an sealgaire</color>;
<color=#D09B61FF>seansaighdiúir</color>;<color=#D09B61FF>an tseansaighdiúir</color>;<color=#D09B61FF>na seansaighdiúirí</color>;<color=#D09B61FF>an seansaighdiúir</color>;
<color=#D09B61FF>searrach</color>;<color=#D09B61FF>an tsearrach</color>;<color=#D09B61FF>na searracha</color>;<color=#D09B61FF>an searrach</color>;
<color=#D09B61FF>sicín</color>;<color=#D09B61FF>an t-sicín</color>;<color=#D09B61FF>na sicíní</color>;<color=#D09B61FF>an sicín</color>;
<color=#D09B61FF>sionnach arctach</color>;<color=#D09B61FF>an tsionnaigh arctach</color>;<color=#D09B61FF>na sionnacha arctach</color>;<color=#D09B61FF>an sionnach arctach</color>;
<color=#D09B61FF>sionnach arctach óg</color>;<color=#D09B61FF>an tsionnaigh arctach óig</color>;<color=#D09B61FF>na sionnacha arctach óga</color>;<color=#D09B61FF>an sionnach arctach óg</color>;
<color=#D09B61FF>sionnach feinneach</color>;<color=#D09B61FF>an tsionnaigh feinneach</color>;<color=#D09B61FF>na sionnacha feinneach</color>;<color=#D09B61FF>an sionnach feinneach</color>;
<color=#D09B61FF>sionnach feinneach óga</color>;<color=#D09B61FF>an tsionnaigh feinneach óga</color>;<color=#D09B61FF>na sionnacha feinneach óga</color>;<color=#D09B61FF>an sionnach feinneach óga</color>;
<color=#D09B61FF>sionnach rua</color>;<color=#D09B61FF>an tsionnaigh rua</color>;<color=#D09B61FF>na sionnacha rua</color>;<color=#D09B61FF>an sionnach rua</color>;
<color=#D09B61FF>sionnach rua óg</color>;<color=#D09B61FF>an tsionnaigh rua óig</color>;<color=#D09B61FF>na sionnacha rua óga</color>;<color=#D09B61FF>an sionnach rua óg</color>;
<color=#D09B61FF>sléachtóir</color>;<color=#D09B61FF>an sléachtóra</color>;<color=#D09B61FF>na sléachtóirí</color>;<color=#D09B61FF>an sléachtóir</color>;
<color=#D09B61FF>spásteifeach</color>;<color=#D09B61FF>an spásteifeach</color>;<color=#D09B61FF>na spásteifeacha</color>;<color=#D09B61FF>an spásteifeach</color>;
<color=#D09B61FF>spealadóir</color>;<color=#D09B61FF>an spealadóra</color>;<color=#D09B61FF>na spealadóirí</color>;<color=#D09B61FF>an spealadóir</color>;
<color=#D09B61FF>srónbheannach</color>;<color=#D09B61FF>an tsrónbheannaigh</color>;<color=#D09B61FF>na srónbheannaigh</color>;<color=#D09B61FF>an srónbheannach</color>;
<color=#D09B61FF>stráinséar mistéireach</color>;<color=#D09B61FF>an stráinséara mistéireach</color>;<color=#D09B61FF>na stráinséara mistéireach</color>;<color=#D09B61FF>an stráinséar mistéireach</color>;
<color=#D09B61FF>teirmít</color>;<color=#D09B61FF>na teirmíte</color>;<color=#D09B61FF>na dteirmít</color>;<color=#D09B61FF>an teirmít</color>;
<color=#D09B61FF>TODO</color>;;;;<color=#D09B61FF>  </color>
<color=#D09B61FF>toirtís</color>;<color=#D09B61FF>an toirtíse</color>;<color=#D09B61FF>na toirtísí</color>;<color=#D09B61FF>an toirtís</color>;
<color=#D09B61FF>torc allta</color>;<color=#D09B61FF>an torc allta</color>;<color=#D09B61FF>na torc allta</color>;<color=#D09B61FF>an torc allta</color>;
<color=#D09B61FF>trádálaí</color>;<color=#D09B61FF>an trádálaí</color>;<color=#D09B61FF>na trádálaithe</color>;<color=#D09B61FF>an trádálaí</color>;
<color=#D09B61FF>trombó</color>;<color=#D09B61FF>an trombó</color>;<color=#D09B61FF>na trombó</color>;<color=#D09B61FF>an trombó</color>;
<color=#D09B61FF>trombó óg</color>;<color=#D09B61FF>an trombó óg</color>;<color=#D09B61FF>na trombó óg</color>;<color=#D09B61FF>an trombó óg</color>;
<color=#D09B61FF>turcaí</color>;<color=#D09B61FF>an turcaí</color>;<color=#D09B61FF>na turcaí</color>;<color=#D09B61FF>an turcaí</color>;
<color=#D09B61FF>uan</color>;<color=#D09B61FF>an uan</color>;<color=#D09B61FF>na uan</color>;<color=#D09B61FF>an uan</color>;
<color=#D09B61FF>varg</color>;<color=#D09B61FF>an varg</color>;<color=#D09B61FF>na varga</color>;<color=#D09B61FF>an varg</color>;
<color=#D09B61FF>varg óg</color>;<color=#D09B61FF>an varg óg</color>;<color=#D09B61FF>na varga óg</color>;<color=#D09B61FF>an varg óg</color>;
<color=#D09B61FF>láir</color>;<color=#D09B61FF>na lárach</color>;<color=#D09B61FF>na láracha</color>;<color=#D09B61FF>an láir</color>;
<color=#D09B61FF>stail</color>;<color=#D09B61FF>na staile</color>;<color=#D09B61FF>na staileanna</color>;<color=#D09B61FF>an stail</color>;



// DefInjected\ThingDef\
<color=#D09B61FF><color=#D09B61FF>adharc trombó</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>adhmad</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ae</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ag eitilt</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>agáibhe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>agaralacs</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>aigéad</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>aigéadóir báis</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>aintéine trádála</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>airgead</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>altóir pósta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ambróise</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>aolchloch</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>aolchloch mhín</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>arbhar</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>Arm neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>Armúr ardleibhéil neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>Armúr miotail neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>armúr neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>armúr plátáilte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>armúr saighdiúra</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>armúr taiscéalaíochta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>babhlaer</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bacainn ársa</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>badhralacs</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bainne</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bairille coipthe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bairille treisithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>báisín hidreaponaice</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>balla</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bambú</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>baracáid</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>beacán beag</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>béile deas</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>béile deas (feoiliteora)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>béile deas (veigeatóra)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>béile fadmharthain</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>béile galánta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>béile galánta (feoiliteora)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>béile galánta (veigeatóra)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>béile simplí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>béile taois chothaithigh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>beith</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>beoir</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bia ainmhithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>binse déantúsaíochta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>binse ealaíne</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>binse meaisínithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>binse snoíodóireachta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>binse taighde ardteicneolaíochta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>binse taighde simplí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>binse tailliúra</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bíogóir síceach ainmhithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bíogóir síceach suaimhneach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bíoma struchtúrach spásloinge</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>biorghunna</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bíosún</color></color>;;;;
